"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-01-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-01-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-01-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-01-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-02-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-03-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-04-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-05-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-06-10",,,
